"Año";"Periodo";"Parámetro";"Índice de riesgo climático (2000-2019)"
"2019";"Año";"Afganistán";"37,83"
"2019";"Año";"Albania";"113,5"
"2019";"Año";"Alemania";"38,17"
"2019";"Año";"Angola";"84"
"2019";"Año";"Antigua y Barbuda";"64,5"
"2019";"Año";"Arabia Saudita";"100,33"
"2019";"Año";"Argelia";"92,83"
"2019";"Año";"Argentina";"77"
"2019";"Año";"Armenia";"142,8"
"2019";"Año";"Australia";"47,7"
"2019";"Año";"Austria";"56,5"
"2019";"Año";"Azerbaiyán";"133,5"
"2019";"Año";"Bahréin";"170,8"
"2019";"Año";"Bangladesh";"28,3"
"2019";"Año";"Barbados";"135,3"
"2019";"Año";"Bélgica";"63,7"
"2019";"Año";"Belize";"48,7"
"2019";"Año";"Benin";"139,8"
"2019";"Año";"Bielorrusia";"156,2"
"2019";"Año";"Birmania";"10"
"2019";"Año";"Bolivia";"40,2"
"2019";"Año";"Bosnia y Herzegovina";"68,2"
"2019";"Año";"Botswana";"130,2"
"2019";"Año";"Brasil";"79,5"
"2019";"Año";"Brunei Darussalam";"167,5"
"2019";"Año";"Bulgaria";"71,7"
"2019";"Año";"Burkina Faso";"101"
"2019";"Año";"Burundi";"74,5"
"2019";"Año";"Bután";"95,2"
"2019";"Año";"Cabo Verde";"137,67"
"2019";"Año";"Camboya";"36,17"
"2019";"Año";"Camerún";"128,17"
"2019";"Año";"Canadá";"87,33"
"2019";"Año";"Catar";"173,67"
"2019";"Año";"Chad";"104,67"
"2019";"Año";"Chile";"81,33"
"2019";"Año";"China";"56,33"
"2019";"Año";"Chipre";"129,67"
"2019";"Año";"Colombia";"54,83"
"2019";"Año";"Comoras";"90"
"2019";"Año";"Congo RDC";"118,83"
"2019";"Año";"Corea del Sur";"85,17"
"2019";"Año";"Costa de Marfil";"141,33"
"2019";"Año";"Costa Rica";"84,5"
"2019";"Año";"Croacia";"47"
"2019";"Año";"Dinamarca";"118"
"2019";"Año";"Djibouti";"70,33"
"2019";"Año";"Dominica";"33"
